CoID,Date,CostCtr,   Ces   ,  Stops  ,  GP Dollars  
HJL,4/10/2019,5200,"4,952",66,"28,823"
HJL,4/10/2019,5150,"1,002",81,"6,306"
HJL,4/11/2019,5110,"5,832",32,"34,317"
HJL,4/11/2019,5120,"8,076",102,"40,781"
HJL,4/11/2019,5130,"2,692",79,"18,251"
HJL,4/11/2019,5200,"5,832",65,"33,944"
HJL,4/11/2019,5150,"1,181",79,"7,426"
HJL,4/12/2019,5110,"5,525",32,"32,512"
HJL,4/12/2019,5120,"7,651",103,"38,635"
HJL,4/12/2019,5130,"2,550",80,"17,290"
HJL,4/12/2019,5200,"5,525",65,"32,158"
HJL,4/12/2019,5150,"1,119",80,"7,035"
HJL,4/15/2019,5110,"4,383",30,"25,789"
HJL,4/15/2019,5120,"6,069",94,"30,647"
HJL,4/15/2019,5130,"2,023",74,"13,715"
HJL,4/15/2019,5200,"4,383",59,"25,508"
HJL,4/15/2019,5150,887,74,"5,581"
HJL,4/16/2019,5110,"5,052",32,"29,727"
HJL,4/16/2019,5120,"6,995",105,"35,326"
HJL,4/16/2019,5130,"2,332",81,"15,809"
HJL,4/16/2019,5200,"5,052",66,"29,404"
HJL,4/16/2019,5150,"1,023",80,"6,433"
HJL,4/17/2019,5110,"4,693",32,"27,614"
HJL,4/17/2019,5120,"6,498",105,"32,816"
HJL,4/17/2019,5130,"2,166",81,"14,686"
HJL,4/17/2019,5200,"4,693",66,"27,314"
HJL,4/17/2019,5150,950,81,"5,976"
HJL,4/18/2019,5110,"6,370",32,"37,479"
HJL,4/18/2019,5120,"8,819",102,"44,538"
HJL,4/18/2019,5130,"2,940",79,"19,932"
HJL,4/18/2019,5200,"6,370",65,"37,071"
HJL,4/18/2019,5150,"1,289",79,"8,110"
HJL,4/19/2019,5110,"4,988",32,"29,351"
HJL,4/19/2019,5120,"6,907",103,"34,879"
HJL,4/19/2019,5130,"2,302",80,"15,609"
HJL,4/19/2019,5200,"4,988",65,"29,031"
HJL,4/19/2019,5150,"1,010",80,"6,351"
HJL,4/22/2019,5110,"4,476",30,"26,335"
HJL,4/22/2019,5120,"6,197",94,"31,296"
HJL,4/22/2019,5130,"2,066",74,"14,006"
HJL,4/22/2019,5200,"4,476",59,"26,049"
HJL,4/22/2019,5150,906,74,"5,699"
HJL,4/23/2019,5110,"5,290",32,"31,125"
HJL,4/23/2019,5120,"7,324",105,"36,988"
HJL,4/23/2019,5130,"2,441",81,"16,553"
HJL,4/23/2019,5200,"5,290",66,"30,787"
HJL,4/23/2019,5150,"1,071",80,"6,735"
HJL,4/24/2019,5110,"5,003",32,"29,438"
HJL,4/24/2019,5120,"6,927",105,"34,983"
HJL,4/24/2019,5130,"2,309",81,"15,656"
HJL,4/24/2019,5200,"5,003",66,"29,118"
HJL,4/24/2019,5150,"1,013",81,"6,370"
HJL,4/25/2019,5110,"6,110",32,"35,954"
HJL,4/25/2019,5120,"8,461",102,"42,726"
HJL,4/25/2019,5130,"2,820",79,"19,121"
HJL,4/25/2019,5200,"6,110",65,"35,563"
HJL,4/25/2019,5150,"1,237",79,"7,780"
HJL,4/26/2019,5110,"5,334",32,"31,387"
HJL,4/26/2019,5120,"7,386",103,"37,299"
HJL,4/26/2019,5130,"2,462",80,"16,692"
HJL,4/26/2019,5200,"5,334",65,"31,045"
HJL,4/26/2019,5150,"1,080",80,"6,792"
HJL,4/29/2019,5110,"5,207",30,"30,635"
HJL,4/29/2019,5120,"7,209",94,"36,406"
HJL,4/29/2019,5130,"2,403",74,"16,293"
HJL,4/29/2019,5200,"5,207",59,"30,302"
HJL,4/29/2019,5150,"1,054",74,"6,629"
HJL,4/30/2019,5110,"6,131",32,"36,076"
HJL,4/30/2019,5120,"8,489",105,"42,872"
HJL,4/30/2019,5130,"2,830",81,"19,186"
HJL,4/30/2019,5200,"6,131",66,"35,684"
HJL,4/30/2019,5150,"1,241",80,"7,807"
HJL,5/1/2019,5110,"5,431",31,"31,956"
HJL,5/1/2019,5120,"7,520",98,"37,975"
